"name","nationality_label","prize","lat","lon"
"Robert H. Grubbs","United States","{Tolman Award|Nobel Prize in Chemistry}","38","-97"
"Christiane Nüsslein-Volhard","Germany","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|Gottfried Wilhelm Leibniz Prize}","51","9"
"Christopher A. Sims","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"John Sulston","United Kingdom","{Knight Bachelor|Royal Society|Nobel Prize in Physiology or Medicine|George W. Beadle Award}","54","-2"
"Thomas J. Sargent","United States","{NAS Award for Scientific Reviewing|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Michael Spence","United States","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Johann Deisenhofer","Germany","Nobel Prize in Chemistry","51","9"
"Ralph M. Steinman","Canada","Nobel Prize in Physiology or Medicine","60","-95"
"Erwin Neher","Germany","{Louisa Gross Horwitz Prize|Nobel Prize in Physiology or Medicine|Gottfried Wilhelm Leibniz Prize}","51","9"
"James Heckman","United States","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Phillip Allen Sharp","United States","{Nobel Prize in Physiology or Medicine|National Medal of Science}","38","-97"
"Robert C. Merton","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"David J. Wineland","United States","{Nobel Prize in Physics|Arthur L. Schawlow Prize in Laser Science|National Medal of Science}","38","-97"
"Richard R. Schrock","United States","Nobel Prize in Chemistry","38","-97"
"George Smoot","United States","{Oersted Medal|Nobel Prize in Physics|Albert Einstein Medal}","38","-97"
"John C. Mather","United States","Nobel Prize in Physics","38","-97"
"Georges J. F. Köhler","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Gerard 't Hooft","Netherlands","{Franklin Medal|Lomonosov Gold Medal|Nobel Prize in Physics|Spinoza Prize|Wolf Prize|Lorentz Medal}","52.5","5.75"
"Eric F. Wieschaus","United States","Nobel Prize in Physiology or Medicine","38","-97"
"H. Robert Horvitz","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Linda B. Buck","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Françoise Barré-Sinoussi","France","Nobel Prize in Physiology or Medicine","46","2"
"Aaron Ciechanover","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Luise Druke","Germany","{United Nations High Commissioner for Refugees|Nobel Peace Prize}","51","9"
"Hartmut Michel","Germany","{Nobel Prize in Chemistry|Gottfried Wilhelm Leibniz Prize}","51","9"
"Paul Nurse","United Kingdom","{Albert Einstein World Award of Science|Nobel Prize in Physiology or Medicine|Copley Medal}","54","-2"
"Peter Agre","United States","Nobel Prize in Chemistry","38","-97"
"Horst Ludwig Störmer","Germany","{Nobel Prize in Physics|Franklin Institute}","51","9"
"Hugh David Politzer","United States","Nobel Prize in Physics","38","-97"
"Eric Maskin","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Georg Bednorz","Germany","Nobel Prize in Physics","51","9"
"Russell Alan Hulse","United States","Nobel Prize in Physics","38","-97"
"Roger Myerson","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Frank Wilczek","United States","{Nobel Prize in Physics|Dirac Prize|Lilienfeld Prize|King Faisal International Prize|Sakurai Prize|Lorentz Medal}","38","-97"
"Carl Wieman","United States","{Oersted Medal|Nobel Prize in Physics|Franklin Institute|King Faisal International Prize|Lorentz Medal}","38","-97"
"Lars Peter Hansen","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Brian Kobilka","United States","Nobel Prize in Chemistry","38","-97"
"Roderick MacKinnon","United States","{Albert Lasker Award for Basic Medical Research|Louisa Gross Horwitz Prize|Nobel Prize in Chemistry}","38","-97"
"Bruce Beutler","United States","{Nobel Prize|Nobel Prize in Physiology or Medicine}","38","-97"
"Rigoberta Menchú","Guatemala","{Prince of Asturias Awards|Nobel Peace Prize}","15.5","-90.25"
"Andrew Fire","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Saul Perlmutter","United States","{Shaw Prize|Nobel Prize in Physics|Gruber Prize in Cosmology|Ernest Orlando Lawrence Award}","38","-97"
"Craig Mello","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Eric Allin Cornell","United States","{Nobel Prize in Physics|Franklin Institute|King Faisal International Prize|Lorentz Medal}","38","-97"
"Brian Schmidt","Australia","{Shaw Prize|Nobel Prize in Physics}","-27","133"
"Leymah Gbowee","Liberia","Nobel Peace Prize","6.5","-9.5"
"Tawakkol Karman","Yemen","Nobel Peace Prize","15","48"
